"Company Name","Contact Person","Phone","Email","Address","City","State","Pincode","GSTIN","PAN"
"ABC Steel Suppliers","Rajesh Kumar","+91-9876543210","rajesh@abcsteel.com","123 Industrial Area, Sector 15","Gurgaon","Haryana","122001","06ABCDE1234F1Z5","ABCDE1234F"
"Modern Electronics Ltd","Priya Sharma","+91-9876543211","priya@modernelectronics.com","456 Tech Park, Phase 2","Bangalore","Karnataka","560001","29FGHIJ5678K2L9","FGHIJ5678K"
"Quality Cement Works","Amit Patel","+91-9876543212","amit@qualitycement.com","789 Factory Road, GIDC","Ahmedabad","Gujarat","380001","24KLMNO9012P3Q7","KLMNO9012P"
"Premium Textiles India","Sneha Reddy","+91-9876543213","sneha@premiumtextiles.com","321 Textile Complex, MIDC","Mumbai","Maharashtra","400001","27PQRST3456U8V2","PQRST3456U"
"Global Hardware Solutions","Vikram Singh","+91-9876543214","vikram@globalhardware.com","654 Hardware Market, Karol Bagh","New Delhi","Delhi","110005","07WXYZA7890B1C3","WXYZA7890B"
"Green Chemicals Pvt Ltd","Meera Nair","+91-9876543215","meera@greenchemicals.com","987 Chemical Zone, Phase 3","Chennai","Tamil Nadu","600001","33DEFGH2345I6J8","DEFGH2345I"
"Royal Packaging Industries","Arjun Mehta","+91-9876543216","arjun@royalpackaging.com","147 Packaging Estate, Sector 7","Noida","Uttar Pradesh","201301","09MNOPQ6789R2S4","MNOPQ6789R"
"Swarna Metals & Alloys","Kavita Desai","+91-9876543217","kavita@swarnametals.com","258 Metal Yard, Industrial Area","Pune","Maharashtra","411001","27TUVWX0123Y4Z6","TUVWX0123Y"
"Prime Construction Materials","Rohit Agarwal","+91-9876543218","rohit@primeconstruction.com","369 Building Materials Hub, Sector 12","Faridabad","Haryana","121001","06BCDEF4567G8H0","BCDEF4567G"
"Eco Paper Products","Anjali Joshi","+91-9876543219","anjali@ecopaper.com","741 Paper Mill Complex, Industrial Area","Hyderabad","Telangana","500001","36HIJKL7890M1N3","HIJKL7890M"

